Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
1,1,"13.7431043,100.5188626",N,2011-09,0000000001_13.7431043_100.5188626_N.jpg,"residential,service",https://drive.google.com/uc?id=0B7dZI0Kce2cSTEJpR1B0aFBCcTQ
2,1,"13.7431043,100.5188626",E,2011-09,0000000002_13.7431043_100.5188626_E.jpg,"residential,service",https://drive.google.com/uc?id=0B7dZI0Kce2cSeGtZUllTaXo5RlU
3,1,"13.7431043,100.5188626",S,2011-09,0000000003_13.7431043_100.5188626_S.jpg,"residential,service",https://drive.google.com/uc?id=0B7dZI0Kce2cSczA4ZWU0TWNTdzA
4,1,"13.7431043,100.5188626",W,2011-09,0000000004_13.7431043_100.5188626_W.jpg,"residential,service",https://drive.google.com/uc?id=0B7dZI0Kce2cSV2tKOFVqUWNLTGM
5,2,"13.6494279003,100.490368",N,2012-02,0000000005_13.6494279003_100.490368_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSbUZpcmR2VmtOYWM
6,2,"13.6494279003,100.490368",E,2012-02,0000000006_13.6494279003_100.490368_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSOTctdWRyeGpaVjA
7,2,"13.6494279003,100.490368",S,2012-02,0000000007_13.6494279003_100.490368_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSN3NTb01JX01aVTQ
8,2,"13.6494279003,100.490368",W,2012-02,0000000008_13.6494279003_100.490368_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSandEcTdXUzZfSEU
9,3,"13.9656926009,100.5323591",N,2012-06,0000000009_13.9656926009_100.5323591_N.jpg,"primary_link,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSVnltdnRWVS1kSUE
10,3,"13.9656926009,100.5323591",E,2012-06,0000000010_13.9656926009_100.5323591_E.jpg,"primary_link,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSeUVib0hKdUtBR28
11,3,"13.9656926009,100.5323591",S,2012-06,0000000011_13.9656926009_100.5323591_S.jpg,"primary_link,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSY2xZMzhWZEtPYkk
12,3,"13.9656926009,100.5323591",W,2012-06,0000000012_13.9656926009_100.5323591_W.jpg,"primary_link,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSblM5My04b3FrbkU
13,4,"13.7878654018,100.5708952",N,2011-12,0000000013_13.7878654018_100.5708952_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSWUhqdVRTZVJsTms
